text,ai_category,label,ai_reason,extracted_salary,extracted_pos"📢📢THÔNG BÁO TUYỂN  NỮ LỚN TUỔI LÀM TẠI KHO ĐÀ NẴNG
"📞 TUYỂN DỤNG NHÂN VIÊN GIẢI ĐÁP KHÁCH HÀNG TỔNG ĐÀI VIETTEL – ĐÀ NẴNG
📩 LIÊN HỆ ỨNG TUYỂN
📞 Điện thoại/Zalo: 0368.757.743
📧 Email: anhmn@callcenter.vn
📍 Địa điểm làm việc
Tầng 1, 215 Phan Đăng Lưu, Khuê Trung, Cẩm Lệ, Đà Nẵng.
📋 MÔ TẢ CÔNG VIỆC
Vị trí: Nhân viên Giải đáp Khách hàng Tổng đài Viettel
Nhiệm vụ chính:
Tiếp nhận cuộc gọi từ khách hàng Viettel.
Giải đáp các thắc mắc, hỗ trợ vấn đề dịch vụ.
Đặc điểm công việc:
Làm việc tại văn phòng 100%.
Không đi thị trường.
Không chạy doanh số.
⏰ THỜI GIAN LÀM VIỆC (THEO CA CỐ ĐỊNH)
Ca 1: 06h30 – 14h30
Ca 2: 14h30 – 22h30
(Làm cố định 1 ca/ngày, không xoay ca)
💰 THU NHẬP
6.000.000 – 9.000.000 VNĐ/tháng
(Thu nhập gồm: lương cứng + phụ cấp + thưởng hiệu quả)
✔️ YÊU CẦU ỨNG VIÊN
Tốt nghiệp Trung cấp trở lên.
Giọng nói rõ ràng, dễ nghe; xử lý tình huống tốt.
Không tuyển sinh viên đang học.",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường + Khu phố + Quận + Thành phố), công việc cụ thể, mức lương hợp lý, yêu cầu ứng viên rõ ràng",6.000.000 – 9.000.000 VNĐ/tháng,Nhân viên Giải đáp Khách hàng Tổng đài Viettel
"TUYỂN NHÂN VIÊN 
Nhà sách Minh Tuấn-15 Phan Tứ tuyển nhân viên bán hàng
Mô tả công việc : dọn dẹp, sắp xếp hàng hóa và phụ giúp lấy đồ cho khách
Thời gian làm việc:
C1: 6h-11h
C2: 11h-16h
C3:16h-21h
Yêu cầu: nhanh nhẹn chăm chỉ, thời gian làm việc ít nhất 1 tháng Cần các bạn sinh viên năm 1,2 và có thể làm ca 1,2 thứ 2; ca1,3 chủ nhật nhé. Mọi thắc mắc có thể ib trực tiếp cho mình nhé",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, thời gian làm việc cụ thể, yêu cầu hợp lý",,Nhân viên bán hàng
"📢 TUYỂN NHÂN VIÊN PHỤC VỤ QUÁN NHẬU – NAM/NỮ
⏰ Thời gian làm việc: 17h – 21h (5h chiều đến 9h tối)
Mức lương: 30k/ h
📍 Địa điểm: Quán Nhậu Nhơn ( 38 đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng)
🔎 Yêu cầu:
Nam/nữ tuổi từ 20 tuổi
Siêng năng, nhanh nhẹn, giao tiếp tốt
Không cần kinh nghiệm (sẽ được hướng dẫn khi nhận việc)
☺️Anh/ chị nào cảm thấy phù hợp vui lòng inbox ngay qua messenger: Huong Tran
Đt:  0911304191",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường + Quận + Thành phố), công việc rõ ràng, mức lương hợp lý",30k/h,Phụ vụ
"Cửa hàng Văn Phòng Phẩm cần tuyển thêm 2 bạn Nữ nhân viên bán hàng ( văn phòng phẩm)
Địa chỉ: 85 Ngũ Hành Sơn (sát trường Kinh tế)
Thời gian làm việc theo ca được đăng kí part time xoay ca ( mỗi ngày 1 ca)
- Ca sáng : 6h30-11h30 
- Ca chiều : 11h30-16h30
- Ca tối : 16h30-21h30
Lương: 15k/h
Yêu cầu: đã có kinh nghiệm đã đi làm
Liên hệ Ms Dung 0935406539",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý",15k/h,Nhân viên bán hàng (văn phòng phẩm)
"Quán chay Phước Duyên cần tuyển nhân viên thời vụ thứ 5 (20/11), có thể làm lâu dài
- Ca làm: 6h - 14h, 14h - xong việc (tầm 21h30)
- Lương: 17k - 23k + phụ cấp cơm ca
- Công việc: Phục vụ, chạy bàn, phụ bếp, dọn dẹp.
- Địa chỉ: 202 Đỗ Bá, Ngũ Hành Sơn
- Liên hệ zalo để trao đổi ca làm: 0935199150 (c Mỹ)",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý, có thông tin liên hệ",17k - 23k + phụ cấp cơm ca,"Phục vụ, chạy bàn, phụ bếp, dọn dẹp"
"Đi làm ngay!!! Lễ Tân phòng GYM 🔥
Địa chỉ : United Fitness - 154 Lê Văn Hiến - Đà nẵng 
Zalo : 0869.816.013",RECRUITMENT,1,"Địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng",,Lễ Tân phòng GYM
"CẦN TUYỂN GẤP NAM BẢO VỆ CÁC CA SAU:
1) Ca 8h-19h mục tiêu spa kv hùng vương, lương 5.2tr-5.9tr/tháng (ưu tiên dưới 53t) 
2)Ca 6h-18h, mục tiêu công trình FPT kv Hoà Quý- NHS, lương 5.5tr/tháng + bao cơm ca
3) Ca 24 nghỉ 24, nhà hàng đường võ nguyên giáp, lương 5.5tr+300k chuyên cần 
4) Ca 24 nghỉ 24, công trình đường Lê quang đạo, lương 5.4tr-5.6tr/tháng
5) Ca 7h-19h, kv đường hàm nghi, mục tiêu cửa hàng, lương 5.7tr-5.9tr/tháng 
6) Ca 17h-23h mục tiêu quán trà sữa đường Lê thanh nghị, lương 3.6tr/tháng 
Ưu tiên nhân viên có kinh nghiệm và làm lâu dài, có nhà đội cho nhân viên ở xa
Lh trao đổi: 0948214466 - 0944712357 (gọi điện hoặc trao đổi zl)",RECRUITMENT,1,"Có địa chỉ cụ thể (Tên đường + Tên khu vực), mức lương hợp lý, yêu cầu kinh nghiệm và làm lâu dài, có nhà ở cho nhân viên ở xa","5.2tr-5.9tr/tháng, 5.5tr/tháng, 5.5tr+300k, 5.4tr-5.6tr/tháng, 5.7tr-5.9tr/tháng, 3.6tr/tháng",Bảo vệ
"NHÀ HÀNG CÁ LỬA TUYỂN DỤNG
❌ 1 GIÁM SÁT 
- lương thỏa thuận 
- chế độ đầy đủ 
❌ 20 NỮ CSKH & LỄ TÂN 
-lương trung bình 20-30tr/1 tháng 
- có xếp lịch xoay ca cho sinh viên 
❌ 14 TIẾP THỰC NAM & 23 PHỤC VỤ NỮ 
- Lương 6Tr / 1 tháng 
- có xếp lịch xoay ca cho sinh viên 
✅ QUYỀN LỢI : 
-Tháng off 2 ngày 
-Phụ cấp hàng tháng
-Hỗ trợ cơm ca
-Thưởng lễ đầy đủ
LH: ☎️ 0797436886 - 0337931069
ĐỊA CHỈ: NHÀ HÀNG CÁ LỬA  TUYỂN DỤNG 
Địa Chỉ : Lô 01.A11.4 Khu công viên Bắc đài Tưởng Niệm ( đường Bạch Đằng nối dài )",RECRUITMENT,1,Địa chỉ rõ ràng (Lô 01.A11.4 Khu công viên Bắc đài Tưởng Niệm ( đường Bạch Đằng nối dài )) và tên thương hiệu rõ ràng (NHÀ HÀNG CÁ LỬA),6 triệu,"Giám sát, CSKH & Lễ tân, Tiếp thực nam & Phụ vụ nữ"
"⭐ CÔNG TY TNHH ĐT&PT SILVER SHORES
CÂU LẠC BỘ CROWN – CẦN 50 TRAI XINH GÁI ĐẸP VỀ VỚI ĐỘI ĐIỀU HÀNH TRÒ CHƠI
Thu nhập từ 11.5 triệu – Việc không nhẹ BUT môi trường xịn, thu nhập ổn định, team work hết mình.
🎯 Quyền lợi xịn xò
Có KTX, có cơm, có đồng phục miễn phí
Giặt ủi FREE – Không lo nghĩ
Đầy đủ BHXH – BHYT – BHTN
Nghỉ phép năm, quà Lễ – Tết
Teambuilding – học hỏi – training nâng skill
🚀 Lộ trình thăng tiến 4 nấc:
NV → Tổ trưởng → Chủ quản → Giám đốc
Rõ ràng – minh bạch – ai cũng có thể leo rank.
🕹️ Công việc: Điều hành trò chơi
Không yêu cầu kinh nghiệm – vào là đào tạo ngay!
📍 Làm việc tại Đà Nẵng
📱 Quét Zalo để ứng tuyển nhanh:
Ms. My – Ms. Tú
📍 ĐỊA ĐIỂM LÀM VIỆC
Lô 8, Võ Nguyên Giáp, Ngũ Hành Sơn, Đà Nẵng
☏ 0236 3 918 888 – 31156/32023
✉ recruitment.crownclub@silvershores.vn 
Facebook: SilverShoresTuyendung",RECRUITMENT,1,"Địa chỉ rõ ràng (Lô 8, Võ Nguyên Giáp, Ngũ Hành Sơn, Đà Nẵng), tên thương hiệu rõ ràng (SilverShores), có thông tin liên hệ cụ thể (số điện thoại, email, Facebook)",11.5 triệu,Điều hành trò chơi
"🌊 TUYỂN DỤNG SIÊU HOT TẠI ĐÀ NẴNG!
💼 Làm việc 7h/ngày – View biển sang chảnh – Thu nhập vượt mong đợi!
NHÀ HÀNG HẢI SẢN CAO CẤP ĂN THÔI (290 Võ Nguyên Giáp – mặt biển Đà Nẵng) đang mở rộng đội ngũ và tìm kiếm những bạn trẻ năng động, tinh thần tốt và yêu môi trường dịch vụ.
⭐ LÀM VIỆC TẠI ĐÂY, BẠN NHẬN ĐƯỢC GÌ?
Không gian làm việc đẹp + thoáng + tinh thần luôn tươi mới.
Thu nhập ổn định: lương cứng + tips cao + thưởng theo năng lực.
Cơ hội tiếp xúc khách quốc tế → cải thiện ngoại ngữ mỗi ngày.
Làm việc trong môi trường chuyên nghiệp, trẻ trung.
🎯 CÁC VỊ TRÍ TUYỂN DỤNG FULL-TIME (7h/ngày)
1. Phục Vụ (Server) – 19 người
  Lương: Từ 5.5 triệu/tháng
2. Tiếp Thực (Runner) – 8 người
  Lương: 5.5 triệu/tháng
3. Lễ Tân (Receptionist) – 3 người
  Yêu cầu: Ngoại hình ưa nhìn + Tiếng Anh/Hàn cơ bản
  Lương: Từ 5.5 triệu/tháng
4. Pha Chế – 4 người
  Lương: Từ 5.5 triệu/tháng 
5. Thu Ngân  - 4 người
 Lương: Từ 5.5 triệu/tháng
🕘 PART-TIME – RẤT PHÙ HỢP CHO SINH VIÊN!
💵 Lương: 28.000 VNĐ/giờ
Giờ giấc linh hoạt
Môi trường thân thiện
Tăng ca theo nhu cầu
📩 NỘP HỒ SƠ NGAY – ƯU TIÊN ỨNG VIÊN SỚM
📞 Zalo/Call (HCNS): 0795.718.374
 📧 Email: hr.vietnamtreasure@gmail.com
👉 Hãy để lại bình luận “FULL-TIME” hoặc “PART-TIME” để được tư vấn nhanh hơn!",RECRUITMENT,1,"Địa chỉ rõ ràng (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý",5.5 triệu/tháng,"Phục vụ, Tiếp thực, Lễ tân, Pha chế, Thu ngân"
