text,is_recruitment,cat_reason,source_file,label,source
"Customs declaration staff
PHÚC LỢI Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Du lịch nước ngoài Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Nghỉ phép năm CLB thể thao MÔ TẢ CÔNG VIỆC Prepare, check, and verify shipment documents (AWB, Invoice, Packing List, C/O, etc.) for accuracy and compliance before declaration. Perform electronic customs declarations for export and import shipments of the company and clients using the VNACCS/VCIS system. Advise on HS codes, item policies, customs procedures, and applicable taxes to customers. Work directly with customs officers and brokerage agents to handle issues arising during the clearance process. Regularly update and comply with current laws and regulations regarding customs and import-export. Coordinate with internal departments (customer service, warehouse, drivers, border gate teams) to manage and process goods efficiently. Report declaration progress and any obstacles to the manager. Perform other tasks as assigned by the management. YÊU CẦU CÔNG VIỆC College or University degree in Logistics, International Business, Import-Export, or relevant fields. At least 3 years of experience in customs declaration (Customs Declarant certificate is a plus). Proficient in VNACCS/VCIS software, knowledgeable about HS codes, item policies, and tax rates. PPreference will be given to candidates with factory work experience and the ability to communicate in Chinese. Responsible, honest, proactive, physically fit, quick to learn, and able to work under high pressure. ĐỊA ĐIỂM LÀM VIỆC Thái Nguyên Nhà xưởng số 07, Lô CN16, CN17 khu công nghiệp Yên Bình, Thành phố, Phổ Yên, Thái Nguyên THÔNG TIN KHÁC Bằng cấp: Cao đẳng Phụ cấp khác: Health Insurance: 24/7 healthcare insurance for full-time employees. Annual Health Check-ups: Regular medical check-ups every year. Company Culture: Team building activities, corporate events, and a dynamic, creative work environment. Salary Review: Annual salary evaluation based on performance. Thời gian thử việc: 02 month Cơ hội huấn luyện: Development Opportunities: Advanced training to enhance skills and expertise. Career Growth: In-depth training with a clear career progression path. Độ tuổi: 25 - 35 Thời gian làm việc: 8:00 AM - 5:30 PM, Monday to Saturday Đồng nghiệp: Work Environment: Dynamic and creative, with opportunities to engage with new technologies. Phúc lợi: Salary & Bonus: Competitive income with performance-based and project-based bonuses. Benefits: Full social, health, and unemployment insurance, along with paid leave as per regulations. Insurance Contribution: 85% of the official salary covered for insurance. Ngày nghỉ: Leave Policy: 12 days of annual leave per year, with an additional day for every 5 years of service. Lương: Cạnh tranh GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/customs-declaration-staff.35C5C7CD.html
":point_right: TUYỂN DỤNG LĐPT- ĐI LÀM NGAY :point_left:
HỖ TRỢ CHỖ Ở
------------------------------
:white_check_mark: Mô tả công việc:
- Làm hàng thủ công mỹ nghệ
- Quy trình làm việc đơn giản
- Được đào tạo bởi đội ngũ nhân viên chuyên nghiệp
- Môi trường làm việc thân thiện, hòa đồng
:white_check_mark: Quyền lợi:
- Không yêu cầu kinh nghiệm
- Được dạy nghề miễn phí
- Thu nhập:  9-12 triệu
:white_check_mark: Thời gian làm việc: 8h - 17h (nghỉ trưa 1 tiếng), thứ 2 - thứ 7.
:white_check_mark: Thông tin liên hệ:
- :derelict_house_building: Địa chỉ xưởng : 36 Huỳnh Bá Chánh, Ngũ Hành Sơn, Đà Nẵng
- :telephone_receiver:  Điện thoại: - Số điện thoại: 0904370211( c.Vân) (ưu tiên gọi điện thoại xin việc, GỌI GIỜ HÀNH CHÍNH)",1,"Tin đăng có mô tả công việc, quyền lợi, thời gian làm việc và thông tin liên hệ. Mục đích rõ ràng là tuyển dụng lao động.",content2_step1.csv,,
"TUYỂN NỮ NHÂN VIÊN BÁN HÀNG TẠI NHÀ SÁCH HẠNH TRÂN ( làm lâu dài )
:house_with_garden: ĐỊA CHỈ: 
Cơ sở 1: 37 Bùi Giáng, Đà Nẵng
Cơ sở 2: 483 Tôn Đản, Đà Nẵng
1. THỜI GIAN LÀM VIỆC: 
-Ca tối: 16h30 - 21h30 ( KO XOAY CA )
2. MÔ TẢ CÔNG VIỆC: 
-Sắp xếp, vệ sinh trưng bày hàng hoá
-Làm theo sự phân công của quản lý
3. QUYỀN LỢI: 
-Lương tính theo giờ: 16.000₫/giờ.
-Làm sau 3 tháng tăng lương!
4. YÊU CẦU:
-Có điện thoại smartphone
-Ưu tiên sinh viên năm 1,2..
-Nữ: 18 - 21 tuổi
:heart: Nếu bạn cảm thấy bản thân phù hợp hoặc muốn thử sức, hãy ib mình nhé!
:telephone_receiver:Mọi thắc mắc xin liên hệ c Trân: 0905.37.44.33",1,Tin đăng tuyển dụng nhân viên bán hàng tại nhà sách Hạnh Trân.,content3_step1.csv,,
"Kiến Trúc Sư
PHÚC LỢI Laptop Chế độ bảo hiểm Du Lịch Phụ cấp Du lịch nước ngoài Đồng phục Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Phụ cấp thâm niên Nghỉ phép năm MÔ TẢ CÔNG VIỆC Lên phương án thiết kế, diễn họa 3D kiến trúc và nội thất theo phương án đã thống nhất. Khảo sát, đo, vẽ hiện trạng công trình. Triển khai hồ sơ thiết kế. Hỗ trợ kỹ thuật trong lĩnh vực tư vấn thiết kế và giám sát thi công các công trình của Công ty. Các công việc khác theo yêu cầu của LĐ QUYỀN LỢI: - Môi trường làm việc chuyên nghiệp, thân thiện; nhiều cơ hội phát triển lên các vị trí cao hơn tại các Công ty thành viên trong Tập đoàn. - Miễn phí các bữa ăn tại công ty - Thưởng nhân viên xuất sắc, sáng kiến cải tiến 1 năm 2 lần; thưởng lương tháng 13; thưởng các ngày Lễ, Tết,... - Tập đoàn thường xuyên tổ chức các hoạt động đào tạo và phát triển nhân viên (Đào tạo chuyên môn, kỹ năng; Đào tạo quản lý nguồn,...); các hoạt động nội bộ như Giải bóng đá, Giải chạy và các hoạt động phong trào khác. - Du lịch hàng năm - Phụ cấp chuyên cần, xăng xe, làm đêm,... (tuỳ vị trí) - Đầy đủ các chế độ Công đoàn (sinh nhật, sinh con, hiếu, hỷ,...), BHXH và các chế độ khác theo quy định của Luật - Cấp xe ô tô cho nhiều vị trí quản lý (cả khối sản xuất và văn phòng) YÊU CẦU CÔNG VIỆC Kinh nghiệm: Từ 2 năm. Tốt nghiệp Cao đẳng trở lên các chuyên ngành kiến trúc, nội thất. Sử dụng thành thạo các phần mềm thiết kế liên quan đến mô tả công việc (Autocad, Sketchup, 3Dsmax, Lumion, Photoshop… ). Kỹ năng giao tiếp và thuyết trình tốt. ĐỊA ĐIỂM LÀM VIỆC Hải Dương KCN An Phát 1 - Quốc Tuấn - Nam Sách - Hải Dương THÔNG TIN KHÁC Bằng cấp: Cao đẳng Độ tuổi: Không giới hạn tuổi Lương: 15 Tr - 22 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/kien-truc-su.35C586AE.html
"Nhà nghỉ Thuận Phương
Giờ đầu 90- giờ sau 30
Qua đêm nhận lúc 7g tối đến 8g sáng hôm sau   Phòng đơn 200k 
Phòng đôi 350k
Địa chỉ 20 Hoàng Bật Đạt, Hoà Hải, Ngũ Hành Sơn",0,Quảng cáo dịch vụ nhà nghỉ,content2_step1.csv,,
"TUYỂN NHÂN VIÊN THU NGÂN VÀ PHỤC VỤ
Lương: X2,X3 ngày lể tết (2tr250/ca)
King Gaming - 214 Châu Thị Vĩnh tế
- Chế độ lương thưởng tốt cho tinh thần làm việc 100%
- Team bulding định kỳ hằng năm
- biết chơi game là một lợi thế.
Nội dung công việc:
- Chủ động chào khi khách đến quầy thu ngân.
- Thu tiền nạp giờ.
- Chat trả lời khách trên phần mềm.
- Pha chế cơ bản.
- Tư vấn khách về menu, dịch vụ tại quán.
- Vệ sinh chổ ngồi khi khách đứng dậy.
- Trung thực trong công việc
LIÊN HỆ: (ZALO) 0947213555",1,Tin đăng tuyển nhân viên thu ngân và phục vụ với mô tả công việc cụ thể.,content2_step1.csv,,
":loudspeaker:   CẦN NGƯỜI PHỤ BÁN HÀNG  .TẠI ĐÀ NẴNG . TAM KỲ QUẢNG NAM 
 Làm việc nghiêm túc :medal_sports:
Độ tuổi :  20t _60t (không nhận sinh viên)
Thời gian làm việc::hourglass_flowing_sand:
     Sáng:  8h  -  11h30
     Chiều : 13h30 -  16h30 
Chủ nhật nghỉ 
   :moneybag: 8tr - 9tr / tháng 
Làm việc tại chổ - môi trường thân thiện - không cần kính nghiệm :handshake:
    Gọi hay nhắn trực tiếp qua zalo::calling:
         :phone:  0877912655 ):telephone_receiver:",1,"Tin đăng tìm người phụ bán hàng tại Đà Nẵng. Mô tả rõ ràng thời gian làm việc, mức lương và yêu cầu độ tuổi.",content2_step1.csv,,
"𝐓𝐈𝐄̣̂𝐌 𝐇𝐎𝐀 𝐋𝐀 𝐌𝐄𝐑 𝐅𝐋𝐎𝐖𝐄𝐑
Vì Nhân viên xuất ngoại nên tiệm hoa cần tuyển thêm thành viên bán hàng tại cửa hàng
:alarm_clock:Thời gian làm việc: 6h-17h , nghỉ trưa 1 tiếng 
:house:Địa điểm làm việc: 01 Lê Nổ ( sau lưng đại học kiến trúc ) 
Mô tả công việc:
- Vệ sinh hoa , cắt gốc , cắm nước , sắp xếp vào xô nước
- Bán hàng 
- Dọn dẹp và sắp xếp khu vực làm việc gọn gàng sạch sẽ
- Các công việc khác theo sự phân công
Yêu cầu:
- Yêu hoa , chăm chỉ , nhanh nhẹn , trung thực
- Có trách nhiệm , đi làm đúng giờ 
Quyền lợi:
-  Lương: 7.000.000đ
-  Tháng off 2 ngày có lương ( không off ngày lễ ) 
- Thưởng theo năng lực và thái độ làm việc
-  Môi trường làm việc vui vẻ ,  hoà đồng
- Được đào tạo lên thợ nếu có mong muốn
Liên hệ trực tiếp qua 
- zalo : 0987174805",1,Tin đăng tuyển thêm thành viên bán hàng tại tiệm hoa.,content3_step1.csv,,
"Nhôm kính Trung Sen cần tuyển thợ chính, thợ phụ, thợ mới học việc , làm nhôm kính. 
Liên hệ 0979547425 _ 0982106286 ,lương thoả thuận.
Đ/c: số 21 Nguyễn Vĩnh Lộc, TP Vinh, Nghệ An",1,"Tin đăng cần tuyển nhân viên với các vị trí thợ chính, thợ phụ, thợ mới học việc.",content1_step1.csv,,
"Tiệm nướng KHÈ cần tuyển:
•03 nhân viên phục vụ
Ca 16h-22h30: 2 bạn (2 nam)
Ca 17h - 23h: 1 bạn (nam/nữ)
Lương: 20k/h + bao ăn trong ca ( ko ăn thêm 500k ) + tip tự giữ
. 01 nhân viên nam làm than nướng
Ca 16h-22h30/23h
Lương 21k/h ( có bao ăn)
. 01 nhân viên ra món ăn ( nam/nữ)
Lương 21k/h. Thời gian 16h-22h30
Tăng lương khi làm việc trên 6 tháng.
Liên hệ: 0905.355557 (zalo) 
Địa chỉ: TIỆM KHÈ - 02 Nguyễn Khánh Toàn, P. Hoà Cường, ĐN",0,,content3_step1.csv,,
"Nhà hàng Phở House - 111 Nại Nam 8 (cổng sau Lotte) cần tuyển 2 nhân viên pha chế
- Thời gian làm việc: 6 tiếng 1 ngày (ca sáng 09:30-16:00, ca chiều 16:00-22:00)
- Yêu cầu: chăm chỉ, trung thực
- Mức lương 22k/h
- Hỗ trợ 01 bữa ăn trong ca làm việc
- Lễ, tết nhân lương theo quy định 
- Môi trường làm việc thân thiện, đa số là khách nước ngoài phù hợp với các bạn muốn trau dồi khả năng ngoại ngữ
Liên hệ: Thư - 0367895079 hoặc ib fb này",1,"Tin đăng tuyển 2 nhân viên pha chế với yêu cầu, mức lương và điều kiện làm việc cụ thể.",content3_step1.csv,,
em tìm việc phục vụ buổi chiều ạ,0,Tìm người làm việc phục vụ buổi chiều,content3_step1.csv,,
"Nhân Viên Kinh Doanh
PHÚC LỢI Chế độ bảo hiểm Du Lịch Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Nghỉ phép năm MÔ TẢ CÔNG VIỆC * MÔ TẢ CÔNG VIỆC SƠ BỘ: - Tìm hiểu, nghiên cứu và tiếp cận khách hàng; trao đổi, tư vấn sản phẩm cho khách hàng; - Báo giá, đấu thầu: Lập dự toán, lập báo giá, lập hồ sơ chào hàng cạnh tranh, lập hồ sơ dự thầu, thực hiện đấu thầu qua mạng/ trực tiếp. - Triển khai thực hiện hợp đồng: Tham gia thương thảo, đàm phán hợp đồng, phát lệnh sản xuất, theo dõi tiến độ đơn hàng, giải quyết các vướng mắc, khiếu nại của khách hàng trong quá trình thực hiện, thanh quyết toán hợp đồng; - Thu hồi nợ: Chịu trách nhiệm trước Trưởng phòng và BLĐ Công ty trong công tác thu hồi công nợ các khoản nợ thuộc hợp đồng mà mình phụ trách; - Chăm sóc khách hàng sau bán hàng: Theo dõi và đánh giá thông tin tình hình sử dụng hàng hoá/vận hành công trình; Tiếp nhận và xử lý thông tin khiếu nại của khách hàng; trình lãnh đạo phê duyệt và trả lời thông tin khiếu nại của khách hàng. Bám sát thông tin, cập nhật, tiếp thị các dự án/các hợp đồng tiếp theo. - Các công việc khác theo phân giao của Trưởng phòng. YÊU CẦU CÔNG VIỆC 1. Trình độ và kiến thức - Tốt nghiệp đại học trở lên chuyên nghành kinh tế/ Kỹ thuật; - Có kiến thức cơ bản về: · Kinh doanh và thị trường. · Kỹ năng bán hàng; · Kỹ năng tiếp thị dự án · Các sản phẩm/dịch vụ liên quan đến lĩnh vực kết cấu thép hoặc các dự án EPC. 2. Kỹ năng chuyên môn - Giao tiếp: nói rõ ràng, tự tin, biết lắng nghe và phản hồi phù hợp. - Đàm phán & thuyết phục: dẫn dắt khách hàng, xử lý phản đối, thuyết phục khách hàng, chốt hợp đồng. - Tìm kiếm khách hàng: sử dụng nhiều kênh (trực tiếp, online, mạng xã hội,…). - Chăm sóc khách hàng: duy trì mối quan hệ, xây dựng lòng tin, chăm sóc sau bán hàng. - Lập kế hoạch & quản lý công việc: biết lên kế hoạch, quản lý công việc được phân giao và làm việc khoa học. - Tin học văn phòng: thành thạo Word, Excel, PowerPoint; - Ưu tiên các ứng viên viết & giao tiếp thành thạo ngoại ngữ: tiếng Anh 3. Kinh nghiệm - Không giới hạn các ứng viên mới tốt nghiệp Đại học; - Tuổi ≤ 35; Không phân biệt giới tính; - Ưu tiên: · Đã từng làm ở ngành liên quan (kết cấu thép/ EPC…); · Có kinh nghiệm trong lĩnh vực bán hàng/ dự án; · Có kỹ năng lập hồ sơ chào hàng cạnh tranh, hồ sơ dự thầu (phục vụ đấu thầu qua mạng/ trực tiếp). 4. Thái độ và phẩm chất cá nhân - Năng động, nhiệt huyết, thích môi trường cạnh tranh. - Chịu áp lực tốt. - Tinh thần cầu tiến, sẵn sàng học hỏi kỹ năng mới. - Trung thực, trách nhiệm, làm việc minh bạch. - Tinh thần làm việc nhóm, phối hợp tốt với đồng nghiệp và cấp quản lý. - Kiên trì, bền bỉ. - Sẵn sàng làm thêm giờ, đi công tác xa dài ngày. 5. Ngoại hình & giao tiếp - Ngoại hình ưa nhìn, tác phong chuyên nghiệp, gọn gàng. - Tự tin khi gặp gỡ, thuyết trình trước khách hàng/nhóm đông người. ĐỊA ĐIỂM LÀM VIỆC Hà Nội Km12 + 800, QL3, Tổ 6, thị trấn Đông Anh, Huyện Đông Anh, Thành phố Hà Nội THÔNG TIN KHÁC Bằng cấp: Đại học Độ tuổi: Dưới 35 Lương: Cạnh tranh GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-kinh-doanh.35C5C6C9.html
