text,is_recruitment,cat_reason,source_file,label,source
"123595 - Nhân Viên Phiên Dịch tiếng Nhật - Ngành Sản Xuất
PHÚC LỢI Chế độ bảo hiểm Du Lịch Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương MÔ TẢ CÔNG VIỆC Vị trí: Nhân Viên Phiên Dịch tiếng Nhật - Ngành Sản Xuất Mã số công việc: 123595 - Nơi làm việc: huyện Thạch Thất, Hà Nội - Lương tháng: 12,000,000～18,000,000VND  Nội dung công việc: **Vị trí này thuộc phòng Sản Xuất : - Biên phiên dịch Tiếng Việt - Tiếng Nhật , quản lý lên kế hoạch sản xuất, - Đặt hàng nguyên vật liệu gián tiếp cần thiết cho sản xuất - Quản lý hiệu suất sản xuất, phối hợp thông tin với trụ sở chính ở Nhật và các nhà cung cấp Nhật Bản, v.v. YÊU CẦU CÔNG VIỆC Yêu cầu công việc: - Giới tính: Nữ - Độ tuổi: dưới 32 tuổi  - Tốt nghiệp Đại học - Trình độ ngoại ngữ: tiếng Nhật tốt 4 kỹ năng (có bằng JLPT N2)  - Kinh nghiệm: Không yêu cầu -Thành thạo tin học văn phòng <Ưu tiên> - Có thời gian làm việc hoặc học tập tại Nhật từ 2 năm  Chú ý: Những ứng viên được chọn sẽ được tư vấn viên của công ty RGF liên hệ trong thời gian sớm nhất có thể. CV của bạn sẽ được lưu trữ lại trong hệ thống và bạn sẽ nhận được email giới thiệu công việc tự động cùng với công việc thích hợp trong thời gian tới. Xin hãy check mail thường xuyên để cập nhật được tin tức công việc. RGF xin cảm ơn! ĐỊA ĐIỂM LÀM VIỆC Hà Nội Thạch Thất, Hà Nội THÔNG TIN KHÁC Bằng cấp: Đại học Giới tính: Nữ Độ tuổi: 23 - 32 Lương: 12 Tr - 18 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/123595-nhan-vien-phien-dich-tieng-nhat-nganh-san-xuat.35C58671.html
":plate_with_cutlery: ĐĨA SỨ CHIBI SIÊU CUTE
:moneybag: Giá chỉ #35k 
:rainbow: Đĩa sứ chibi – xài bền, đẹp chuẩn decor! 
Gom ngay bộ đĩa chibi siêu cưng này nha:ribbon:
------------------------------------
Hãy ghé ngay hôm nay để săn đồ giá rẻ và dễ thương tại Đồng giá 15K - Làng Đại Học Đà Nẵng! 
:house_with_garden:Địa chỉ: 60 Trần Hưng Đạo - Điện Bàn - Quảng Nam (cách Trường đại học CNTT & TT Việt Hàn 500m)
#diasu #diachibi #chendiadethuong  #donggia #dienban #danang",0,Quảng cáo bán đĩa sứ chibi.,content2_step1.csv,,
"Giám Sát Nhà Hàng
PHÚC LỢI Laptop Chế độ bảo hiểm Phụ cấp Đồng phục Chế độ thưởng Đào tạo Tăng lương Nghỉ phép năm MÔ TẢ CÔNG VIỆC · Giám sát hoạt động hàng ngày tại khu vực nhà hàng (set up – phục vụ – dọn dẹp), đảm bảo đúng quy trình, tiêu chuẩn dịch vụ của đơn vị. · Phân công, sắp xếp lịch làm việc và giám sát hiệu quả công việc của nhân viên phục vụ trong ca. · Trực tiếp hỗ trợ đón tiếp và chăm sóc khách hàng, xử lý các tình huống, khiếu nại hoặc yêu cầu đặc biệt từ khách một cách nhanh chóng và khéo léo. · Đào tạo nhân viên mới, hướng dẫn nghiệp vụ cho nhân viên hiện tại nhằm nâng cao kỹ năng giao tiếp và phục vụ chuyên nghiệp. · Kiểm tra, giám sát việc sử dụng và bảo quản tài sản, thiết bị, dụng cụ nhà hàng. · Phối hợp chặt chẽ với bếp, bar, lễ tân để đảm bảo quy trình phục vụ diễn ra đồng bộ và hiệu quả. · Kiểm tra vệ sinh khu vực nhà hàng trước, trong và sau ca làm việc. · Hỗ trợ quản lý nhà hàng trong việc lên kế hoạch, đề xuất cải tiến quy trình làm việc và nâng cao chất lượng dịch vụ. · Lập báo cáo định kỳ về hoạt động ca, phản hồi khách hàng, tình trạng nhân sự và đề xuất hướng xử lý. YÊU CẦU CÔNG VIỆC ·  Nam/Nữ, tuổi từ 25 – 40, tác phong nhanh nhẹn, ngoại hình ưa nhìn, thái độ chuyên nghiệp. ·  Tốt nghiệp từ Trung cấp trở lên chuyên ngành Nhà hàng – Khách sạn, Quản trị dịch vụ, Du lịch hoặc các ngành liên quan. ·  Có ít nhất 2 năm kinh nghiệm ở vị trí tương đương, từng làm trong hệ thống nhà hàng khách sạn 3–5 sao hoặc chuỗi nhà hàng cao cấp. ·  Giao tiếp tốt tiếng Việt và ưu tiên biết tiếng Anh giao tiếp  ·  Kỹ năng giao tiếp, xử lý tình huống, sắp xếp và điều phối công việc tốt. ·  Có tư duy dịch vụ, tinh thần chủ động và chịu được áp lực công việc theo ca/kỳ cao điểm. ·  Ưu tiên ứng viên biết sử dụng phần mềm POS, phần mềm đặt bàn, gọi món và hệ thống báo cáo. ĐỊA ĐIỂM LÀM VIỆC Phú Thọ Xã Bảo Yên, Thanh Thủy, Phú Thọ THÔNG TIN KHÁC Bằng cấp: Cao đẳng Độ tuổi: Không giới hạn tuổi Lương: 12 Tr - 18 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/giam-sat-nha-hang.35C5D89C.html
"TUYỂN NHÂN VIÊN THỜI VỤ KHO ĐÓNG GÓI - KCN HÒA KHÁNH, ĐÀ NẴNG
:white_check_mark:LƯƠNG TUẦN - Được chọn ca và ngày làm linh hoạt
:dart:Địa chỉ : Kho ITL, Lô X11 Đường 10B - KCN Hòa Khánh mở rộng, Hoà Liên, Hòa Vang, Đà Nẵng
Ca 1 : 06h - 15h (ca ưu tiên) : 250k
Ca 2 : 07h - 16h : 250k
=> Làm 6/7 ngày thưởng 70k chuyên cần
:pushpin:Công việc: Đóng gói thịt cá cho bách hóa xanh
:pushpin:Yêu cầu : từ đủ 18-50t, chịu được lạnh (8 -15 độ) (có đồ bảo hộ)
LH Za.lo: Thương - 0336431799
xin phép admin ạ.",1,"Tin tuyển dụng nhân viên thời vụ đóng gói tại KCN Hòa Khánh, Đà Nẵng.",content3_step1.csv,,
"THƯỜNG KIỆT
Quán cơm Xít Xít cần tuyển thêm thành viên năng động, chịu khó và vui vẻ để cùng làm việc lâu dài.
:clock9: Ca làm việc:
 • Ca sáng: 9h00 – 14h30
 • Ca tối: 16h30 – 21h30
:round_pushpin: Địa chỉ: 112 Lý Thường Kiệt, TP. Vinh
:briefcase: Vị trí tuyển:
 • 2 Nhân viên phục vụ : 1 sáng 1 tối
 • 1 Nhân viên bưng bê, dọn bàn, phụ bếp
:moneybag: Quyền lợi:
 • Lương thoả thuận theo năng lực (có thưởng nếu làm tốt)
 • Môi trường thân thiện, vui vẻ, đồ ăn ngon :yum:
 • Ưu tiên bạn làm được lâu dài, có trách nhiệm
:telephone_receiver: Liên hệ: 0943776886 hoặc inbox fanpage Quán cơm Xít Xít để được trao đổi thêm.",1,Tin đăng tuyển dụng nhân viên phục vụ và bưng bê tại quán cơm Xít Xít.,content1_step1.csv,,
"Bếp Chính Bếp Âu
PHÚC LỢI Chế độ bảo hiểm Du Lịch Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương MÔ TẢ CÔNG VIỆC Trách nhiệm chính - Chuẩn bị nguyên vật liệu, sơ chế và nấu các món Âu theo phân công. - Đảm bảo món ăn đúng tiêu chuẩn về khẩu vị, nhiệt độ và trình bày. - Tuân thủ nghiêm quy định về VSATTP và ATLĐ. - Giữ vệ sinh khu vực làm việc, bảo quản thiết bị đúng quy trình. Mô tả công việc chính chi tiết thực hiện Chuẩn bị và sản xuất: - Nhận yêu cầu món ăn từ cấp trên và chuẩn bị NVL theo thực đơn/phiếu đặt món. - Thực hiện đúng kỹ thuật chế biến: áp chảo, nướng, súp, sốt, salad, grill… - Trình bày món ăn đúng tiêu chuẩn, hoàn thiện món đúng giờ và đúng order. Vệ sinh và VSATTP: - Thực hiện đúng quy trình sơ chế, rửa, lưu trữ nguyên liệu, kiểm soát hạn sử dụng. - Vệ sinh công cụ, dụng cụ, khu vực bếp theo đúng lịch và hướng dẫn. - Sử dụng đúng trang phục bảo hộ, găng tay, mũ, khẩu trang theo quy định. An toàn lao động: - Tuân thủ an toàn điện, gas, thiết bị nhiệt, chống trơn trượt. - Báo cáo kịp thời nếu phát hiện rò rỉ điện, nước, cháy nổ, nguy cơ sự cố. Bảo quản thiết bị, công cụ dụng cụ: - Sử dụng thiết bị đúng cách, đúng chức năng. - Vệ sinh, lau chùi thiết bị sau sử dụng, đề xuất sửa chữa khi hư hỏng. Phối hợp và hỗ trợ tổ: - Hỗ trợ các đồng nghiệp trong tổ khi cần. - Tham gia chuẩn bị món ăn cho sự kiện, tiệc theo yêu cầu. YÊU CẦU CÔNG VIỆC Năng lực chuyên môn - Hiểu biết và làm được các món Âu nóng - lạnh cơ bản. - Hiểu biết và sử dụng được các kỹ thuật nấu sốt cơ bản, chế biến món ăn theo công thức. - Kiểm soát được chất lượng món ăn trước khi phục vụ. - Thành thạo sử dụng các thiết bị trong khu vực Bếp. Kinh nghiệm - Có ít nhất trên 01 năm kinh nghiệm ở vị trí tương đương - Tốt nghiệp Trung cấp nghề Bếp hoặc tương đương. - Kinh nghiệm huấn luyện/đào tạo - Được chứng nhận HACCP/ ISO 22000 là một lợi thế. Tin học - Biết dùng Word, Excel, Powerpoint là một lợi thế Ngoại ngữ - Biết Tiếng Anh: Nghe, nói,đọc, viết là một lợi thế. Phúc lợi: Mức Lương Hấp Dẫn Cung Cấp Bữa Ăn Trong Ca Chính sách hỗ trợ chi phí nhà ở đối với nhân viên có hộ khẩu không thuộc Phú Quốc Chính sách hỗ trợ tiền xăng đi lại đối với nhân viên có hộ khẩu Phú Quốc Thưởng các dịp lễ, Tết. Nghỉ phép năm theo quy định Bộ luật Lao động. Bảo Hiểm Đầy Đủ – Được tham gia đầy đủ bảo hiểm xã hội, y tế và thất nghiệp theo đúng quy định pháp luật Phát Triển Nghề Nghiệp – Cơ hội đào tạo bài bản và lộ trình thăng tiến rõ ràng Môi Trường Làm Việc Thân Thiện – Đồng nghiệp hỗ trợ, giao tiếp cởi mở, văn hóa công ty tích cực và đoàn kết. ĐỊA ĐIỂM LÀM VIỆC Kiên Giang 152 Trần Hưng Đạo, Khu phố Cửa Lấp, Đặc Khu Phú Quốc, An Giang THÔNG TIN KHÁC Bằng cấp: Trung cấp Độ tuổi: Không giới hạn tuổi Lương: Cạnh tranh GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/bep-chinh-bep-au.35C58E92.html
"Có anh chị nào tuyển live không ạ. Em nam , em mong muốn Tìm công Việc live bán giày thể thao pick hay câu lông ạ.",0,Tin nhắn tìm kiếm công việc bán hàng chứ không phải là tin tuyển dụng.,content3_step1.csv,,
"Chuyên viên Tư vấn bán hàng(MỚI)
PHÚC LỢI Laptop Chế độ bảo hiểm Du Lịch Chế độ thưởng Chăm sóc sức khỏe Đào tạo Tăng lương Công tác phí Phụ cấp thâm niên Nghỉ phép năm MÔ TẢ CÔNG VIỆC Điều phối tại quầy tư vấn: phân luồng, hướng dẫn khách hàng đến chuyên khoa cần khám Xác nhận lịch hẹn và đặt lịch hẹn tái khám cho khách trên phần mềm quản lý bệnh viện tại khu vực được phân công phụ trách Mở hồ sơ cho khách hàng mới và tư vấn quy trình làm thủ tục bảo hiểm Tư vấn cho khách hàng các sản phẩm, dịch vụ của Bệnh viện và thực hiện các công việc liên quan (telesales cho nguồn khách hàng có sẵn, làm hợp đồng, hỗ trợ hội thảo, các chương trình bán hàng...) Phối hợp với khối chuyên môn để cập nhật các thông tin về sản phẩm, dịch vụ, kỹ thuật mới. Nắm bắt kịp thời & chính xác về các chính sách ưu đãi, chính sách giá của bệnh viện để tư vấn cho khách hàng YÊU CẦU CÔNG VIỆC Tốt nghiệp Cao đẳng trở lên chuyên ngành liên quan: kinh tế, tài chính, quản trị kinh doanh, marketing, du lịch, khách sạn,.. Giao tiếp Tiếng Anh Tốt. Phong thái chuyên nghiệp, nhẹ nhàng, lịch thiệp, có ý thức cao về tư duy dịch vụ Nhanh nhẹn, năng động, chăm chỉ, nhiệt huyết Ưu tiên có kiến thức/ kỹ năng về bán hàng, chăm sóc khách hàng Ưu tiên có kinh nghiệm làm việc direct sales, telesales hoặc chăm sóc khách hàng tại các bệnh viện, phòng khám, nhà hàng, resort, khách sạn, ngân hàng,… ĐỊA ĐIỂM LÀM VIỆC Hồ Chí Minh Vinmec Central Park International Hospital, Đường Nguyễn Hữu Cảnh, Vinhomes Tân Cảng, Phường 22, Bình Thạnh, Hồ Chí Minh THÔNG TIN KHÁC Bằng cấp: Cao đẳng Độ tuổi: Không giới hạn tuổi Lương: Cạnh tranh GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,data_viet.csv,1.0,https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-tu-van-ban-hang.35C60129.html
Cần tìm việc part time ở kv tiểu la hải châu,0,Cần tìm việc part time là biểu hiện người đang tìm kiếm công việc.,content3_step1.csv,,
"KIM NGỌC ( quần áo trẻ em ) 
Tuyển nhân viên bán quần áo trẻ em ca ngày
Thời gian ca1: 8-12h trưa. Ca 2. 12-6h. Ca 3: 5-9h. Có tuyển cả ngày ạ
Công việc : sắp xếp quần áo, bán tại 
Dchi : 191 phan chu trinh
Liên hệ : 0973631169 :blush:",1,"Tin đăng có từ khóa 'Tuyển nhân viên', mô tả công việc bán hàng cụ thể.",content1_step1.csv,,
