text,is_recruitment,cat_reason,label,legit_reason
"❤️❤️❤️TỔNG KHO HÀNG TẠI ĐÀ NẴNG tuyển vài vị trí
☘️ 1 Phụ sắp xếp hàng hóa trong kho,kiểm hàng,hổ trợ khách ( làm giờ hành chính)
💥Đảm bảo thu nhập tốt - môi trường làm thỏa mái.
🔥Luôn chào đón thành viên mới về làm cùng
☎️ Liên hệ sdt: 0877898135 gặp trưch tiếp( ko nhận ib)",1,Tin đăng tuyển dụng nhân viên kho hàng tại Đà Nẵng.,1,"Việc công ty/quán xá, có số điện thoại liên hệ rõ ràng."
"🔊CẦN NGƯỜI PHỤ MÌNH BÁN HÀNG,LÀM LÂU DÀI HOẶC THỜI VỤ 👇
Khu vực: Thanh Khê, Hải Châu, Cẩm Lệ, liên chiểu ♥️
• Thời gian làm việc:
Sáng: 8h- 11h30
Chiều: 13h30- 17h 
• Độ tuổi: 19t trở lên 
• Thu nhập: 3tr/parttime - 7tr/hành chính 
• Yêu cầu: thái độ tốt, nghiêm túc trong công việc, vui vẻ, nhiệt tình.
(Không nhận sv )
📇 Bạn nào cần công việc liên hệ trực tiếp  (sdt) hoặc (zalo) 0326495440 để trao đổi công việc cụ thể.",1,"Tin đăng tìm người bán hàng với yêu cầu cụ thể về thời gian làm việc, thu nhập và khu vực.",1,"Việc công ty/quán xá, có địa chỉ cụ thể khu vực Thanh Khê, Hải Châu, Cẩm Lệ. Mức lương phù hợp thị trường."
"🌟 Tuyển bưu tá giao hàng Ngũ Hành Sơn & Sơn Trà – được đào tạo, có lương hỗ trợ người mới.
🔧 Yêu cầu: Trên 18 tuổi, có Android, phương tiện Bưu Điện trang bị.
📞 Liên hệ: 0935 34 39 59 – Hải.",1,Tin đăng tuyển dụng bưu tá giao hàng với yêu cầu cụ thể và thông tin liên hệ.,1,"Việc công ty/quán xá, có địa chỉ cụ thể (Ngũ Hành Sơn & Sơn Trà), lương hỗ trợ người mới."
"🇻🇳 CẦN BỔ SUNG NHÂN SỰ 🇻🇳
Phát triển hệ thống phân phối sản phẩm hữu cơ 
🔹 1. Nhân viên tư vấn – bán hàng
– Thu nhập: 8 – 15 triệu/tháng
– Không cần kinh nghiệm – được đào tạo
– Tuổi: từ 21 trở lên
🔹 2. Quản lý kinh doanh khu vực
– Thu nhập: 10 – 22 triệu/tháng
– Ưu tiên người có tư duy phát triển, nghiêm túc làm việc
– Tuổi: 27 – 45
🕒 Giờ làm: 8h00 – 16h30
📞 Liên hệ trực tiếp: 0905276851
Tìm việc nghiêm túc – cần môi trường ổn định – inbox hoặc gọi ngay!",1,"Tin đăng có mô tả rõ ràng về các vị trí cần tuyển dụng (Nhân viên tư vấn – bán hàng, Quản lý kinh doanh khu vực), mức thu nhập và yêu cầu tuổi tác.",1,"Tin tuyển dụng công ty/quán xá, có địa chỉ liên hệ rõ ràng. Mức lương phù hợp thị trường."
"TGIF GROUP THÔNG BÁO TUYỂN DỤNG
🎄Vị trí:
⚡ (01) Quản lý nhà hàng    
⚡ (01) Trợ lý Quản lý      
⚡ (01) Giám sát nhà hàng 
⚡ (02) Tổ trưởng quầy bar
⚡ (04) Nhân viên pha chế  
⚡ (04) Tổ trưởng phục vụ  
⚡ (25) Phục vụ                     
⚡ (10) Tiếp thực                              
⚡ (06) Bếp chính                 
⚡ (08) Phụ bếp                     
⚡ (05) Tạp vụ                        
⚡ (03) Lễ tân  
⚡ (02) Thu ngân     
⚡ (01) Nhân viên kho
⚡ (02) An ninh
⚡ (02) Bảo trì điện lạnh    
🎄Yêu cầu: 
- Có kinh nghiệm từ 01-03 năm trở lên ở vị trí tương đương.
- Riêng vị trí Phục vụ & phụ bếp: Không yêu cầu kinh nghiệm, sẽ được training khi nhận việc.
🎄Quyền lợi: 
- Lương sẽ thoả thuận trong quá trình phỏng vấn. 
- Phụ cấp cơm, tiền tip
- Phúc lợi sinh nhật, nhân viên xuất sắc tháng.
- Phục vụ, lễ tân, phụ bếp: lương dao động từ 6- 10 triệu (bao gồm tiền tip+ Phụ cấp cơm ca) tuỳ theo năng lực & kết quả kinh doanh của Nhà hàng.
- Môi trường làm việc thân thiện. Cơ hội thăng tiến nghề nghiệp
🎄Liên hệ: 
☎  Phòng nhân sự           : 0905.235.437
📩 Gửi hồ sơ qua email    : minhntn86@gmail.com
🔗 Điền đăng ký qua link : https://forms.gle/bGmaTe5jBP1BLg7G7
📍 Địa chỉ nhận hồ sơ      : Tầng 1, Du Thuyền Happy Yatch. Đối diện 461 Trần Hưng Đạo, P.An Hải Tây, Q.Sơn Trà, TP.Đà Nẵng.",1,Tin tuyển dụng với nhiều vị trí và yêu cầu rõ ràng.,1,Tin tuyển dụng từ công ty TGIF GROUP với địa chỉ cụ thể. Mức lương được nêu ra phù hợp thị trường.
"‼️‼️CẦN NGƯỜI PHỤ VIỆC BÁN HÀNG ‼️‼️
❌FULL TIME (8h - 17h) 
THU NHẬP 8 triệu 
❌PART TIME (17h - 21h)
THU NHẬP 4 triệu 
➡️ Thưởng thêm nếu làm tốt + nhiệt tình với công việc◀️
⚡Yêu cầu: đủ 21t, ưu tiên những bạn làm việc lâu dài 
❌Địa chỉ : 
- Phường Hòa Cường, Hải Châu, Đà Nẵng 
- Khuê Trung, Cẩm Lệ, Đà Nẵng 
❌Liên hệ 0326495440 gặp Minh để tìm hiểu cv",1,Tin đăng tìm người bán hàng với thời gian làm việc và mức thu nhập cụ thể.,1,"Tin tuyển dụng rõ ràng địa chỉ công ty, mô tả công việc cụ thể."
"Cần người phụ bán hàng Đà Nẵng (Thanh khê,Hải châu)
      [ 𝐂𝐨́ 𝐭𝐡𝐞̂̉ 𝐥𝐚̀𝐦 𝐧𝐮̛̃𝐚 𝐧𝐠𝐚̀𝐲 𝐡𝐨𝐚̣̆𝐜 𝐜𝐚̉ 𝐧𝐠𝐚̀𝐲 ] 
⌚ 🕰 : Sáng : 8h - 11h30
              Chiều : 13h30 - 16h 
{ có hỗ trợ 𝐱𝐨𝐚𝐲 𝐜𝐚 , chưa hỗ trợ sinh viên }
 👷 Công việc : 𝐩𝐡𝐮̣ 𝐛𝐚́𝐧 𝐡𝐚̀𝐧𝐠 𝐭𝐚̣𝐢 𝐜𝐡𝐨̂̃ ( khách cần gì thì hỗ trợ bán ) 
- Công việc đơn giản , có chỉ bày 
- Không cần kinh nghiệm , bằng cấp , ngoại hình 
🧣 Sản phẩm : 
* Các mặt hàng về [ - 𝐇𝐚̀𝐧𝐠 𝐭𝐢𝐞̂𝐮 𝐝𝐮̀𝐧𝐠 ( 𝐝𝐚̂̀𝐮 𝐠𝐨̣̂𝐢 , 𝐬𝐮̛̉𝐚 𝐭𝐚̆́𝐦 ,.. )
*                                   - 𝐇𝐚̀𝐧𝐠 𝐦𝐞̣ 𝐯𝐚̀ 𝐛𝐞́ 
*                                   - 𝐇𝐚̀𝐧𝐠 𝐌𝐲̃ 𝐩𝐡𝐚̂̉𝐦 ,... ]
🗣️ Độ tuổi : 20 - 55 (tùy độ tuổi thì hỗ trợ sản phẩm phù hợp )
🚫 Yêu cầu : trung thực , nhanh nhẹn
💵 Thu nhập : 𝟔.𝟎𝟎𝟎.𝟎𝟎𝟎 - 𝟖.𝟓𝟎𝟎.𝟎𝟎𝟎 
☎ Liên hệ trực tiếp sđt hoặc nhắn tin zalo      0817881761",1,Tin đăng tìm người phụ bán hàng với giờ giấc cụ thể và mức thu nhập.,1,"Việc bán hàng tại quán xá có địa chỉ cụ thể (Thanh khê, Hải châu), mức lương hợp lý."
"Phở Trần đường song hào, p hòa hải ngũ hành sơn CẦN TUYỂN nữ phụ bán (bao ăn ở)
✅️Quán nằm ngay chung cư cao tầng FPT
✅️Lương thỏa thuận khi trao đổi cv, thưởng các ngày lễ, tết và lương tháng 13
✅️Yêu cầu: Làm lâu dài, nhanh nhẹn, chịu khó
👉Liên hệ: 0937827646",1,"Tin tuyển dụng nhân viên phụ bán (bao ăn ở), mô tả lương và yêu cầu công việc.",1,"Tin tuyển dụng quán phở có địa chỉ cụ thể, lương thỏa thuận.  "
"Cần tuyển 1 phụ bếp làm lâu dài
Lương từ 7tr5-8tr5
Thời gian làm việc từ 14h-0h30
Quyền lợi tháng được off 1 ngày có lương
Địa chỉ 223 lê văn hiến đà nẵng",1,"Tin tuyển dụng nhân viên phụ bếp với thông tin về lương, thời gian làm việc và quyền lợi.",1,"Tin tuyển dụng công ty/quán xá, có địa chỉ cụ thể."
"Miri Hôm Vietnamese Cuisine - Tuyển dụng tháng 11/2025
Lương: từ 25k/h , phụ cấp cơm ca.
Ca làm việc linh động,phù hợp với sinh viên
Liên hệ: Mr.Tuấn - 090 552 0159 (qua Zalo hoặc gọi trực tiếp)",1,"Tin tuyển dụng với thông tin lương, ca làm việc và liên hệ.",1,"Tin tuyển dụng từ quán ăn, có địa chỉ liên hệ rõ ràng."
