text,is_recruitment,cat_reason,label,legit_reason,source_file,source
":fire: ĐĂNG KÝ NGAY XANH SM BIKE ĐÀ NẴNG – ƯU ĐÃI CỰC LỚN! :fire:
:calendar: Thời gian: 1–7/12
Đăng ký trở thành tài xế Xanh SM Bike trong tuần lễ vàng để nhận chiết khấu siêu ưu đãi 75–85%!
:money_with_wings: Chỉ cần cọc 500.000đ
:arrow_right: Nhận xe chạy ngay – thu nhập vào tiền liền tay!
:rocket: Cơ hội có một không hai
 • Thu nhập ổn định – thưởng hấp dẫn
 • Nhiều cuốc, khách hàng tăng mạnh
 • Thương hiệu uy tín, hỗ trợ tận nơi
:point_right: Gọi ngay để đăng ký và giữ suất ưu đãi!
0905341954 hoặc nhắn tin trực tiếp qua mess",1,Tin đăng tuyển tài xế cho công ty Xanh SM Bike.,1,"Tin tuyển dụng cho việc làm lái xe, có số điện thoại liên hệ rõ ràng. Mặc dù thiếu địa chỉ cụ thể nhưng đây là loại việc thường không bắt buộc phải có địa chỉ.",content3_step2.csv,
"Tuyển thợ nano thời vụ biết cắt ,nuôi ăn ở . Lương theo năng lực .liên hệ :0976183230
Lưu ý: mình đăng hộ nên gọi trực tiếp nhé.",1,Tin đăng tuyển thợ nano với yêu cầu cụ thể về kỹ năng và điều kiện làm việc. Có thông tin liên hệ rõ ràng.,0,"Thiếu địa chỉ cụ thể, xưng hô 'mình đăng hộ' có thể là dấu hiệu lừa đảo.",content1_step2.csv,
":office: CÔNG TY BẤT ĐỘNG SẢN - BỔ SUNG NHÂN SỰ
:dart:VỊ TRÍ: CHUYÊN VIÊN KINH DOANH BẤT ĐỘNG SẢN
:white_check_mark: SỐ LƯỢNG: 20 NGƯỜI
:clipboard: THU NHẬP HẤP DẪN
:file_folder: CÓ SẴN GẦN 5 NGHÌN CĂN TẠI ĐÀ NẴNG
:heavy_minus_sign::heavy_minus_sign::heavy_minus_sign::heavy_minus_sign:
:pushpin:PHÚC LỢI:
- Công việc tự do, không ràng buộc thời gian.
- Được đào tạo, được học miễn phí bài bản chuyên nghiệp.
- Tăng khả năng đàm phán với khách hàng.
- Được làm việc trong môi trường chuyên nghiệp.
:heavy_minus_sign::heavy_minus_sign::heavy_minus_sign::heavy_minus_sign:
:house: 244 Phan Đăng Lưu, Cẩm Lệ, Đà Nẵng.
:telephone_receiver: Liên hệ: 0825.229.618 ( hoặc inbox).",1,,0,,facebook.csv,facebook.com
":ocean::ocean::ocean:CẦN NGƯỜI LÀM VIỆC MÙA HÈ Ở ĐÀ NẴNG
Mình nhận 2 bạn từ : 18 đến 30 tuổi
Ca sáng: 9h đến 11h30
Ca Chiều: 13h đến 17h
Ca Tối : 17h đến 21h
Thu nhập theo ngày hoặc tháng:
- part time: 4 - 5 triệu
- Full time: 7- 8 triệu ( Có Thưởng Thêm nếu làm tốt )
Có xoay ca linh hoạt cho học sinh ,sinh viên muốn làm thêm giờ
Yc: nhiệt tình - có trách nhiệm
Quan tâm thì INBOX mình hướng dẫn trực tiếp : 0363245212 or zalo. :hugging_face::hugging_face::hugging_face:",1,,0,,facebook.csv,facebook.com
"Nhân Viên Chăm Sóc Khách Hàng Kênh Call Inbound
PHÚC LỢI Chế độ bảo hiểm Phụ cấp Chế độ thưởng Chăm sóc sức khỏe Đào tạo Phụ cấp thâm niên Nghỉ phép năm MÔ TẢ CÔNG VIỆC :black_small_square: Tiếp nhận vấn đề cần hỗ trợ của khách hàng qua cuộc gọi đến. :black_small_square: Ghi nhận khiếu nại từ khách hàng & phụ trách xử lý theo đúng quy trình đã được đề ra :black_small_square: Sử dụng linh hoạt các công cụ & phối hợp với các phòng ban để giải quyết các vấn đề một cách kịp thời & chuyên nghiệp. :black_small_square: Phản hồi kết quả cho khách qua Email hoặc OB Call khi cần thiết :black_small_square: Thực hiện các yêu cầu công việc khác theo yêu cầu của quản lý. YÊU CẦU CÔNG VIỆC :black_small_square: Có kỹ năng sử dụng các trình duyệt Internet, biết thao tác trên gdocs. :black_small_square: Thao tác vi tính văn phòng tốt và yêu cầu test đánh máy >=40 WPM. :black_small_square: Khả năng giao tiếp, giải quyết khiếu nại tốt, giao tiếp thân thiện, có tinh thần cầu tiến. :black_small_square: Nhẫn nại, nhiệt tình, nhanh nhẹn, chủ động, yêu thích công việc CSKH :black_small_square: Ưu tiên các bạn có kinh nghiệm làm CSKH qua kênh Chat/Call/Email. Nếu không có kinh nghiệm sẽ được đào tạo miễn phí THÔNG TIN KHÁC Bằng cấp: Trung học Độ tuổi: 20 - 32 Lương: 8 Tr - 8,3 Tr VND GỢI Ý HỒ SƠ Thiết kế CV Ứng Tuyển",1,,1,,data_viet.csv,https://careerviet.vn/vi/tim-viec-lam/nhan-vien-cham-soc-khach-hang-kenh-call-inbound.35C5D7E9.html
":star2: 𝐓𝐫𝐨̛̉ 𝐯𝐞̂̀ 𝐪𝐮𝐞̂ 𝐡𝐮̛𝐨̛𝐧𝐠, 𝐱𝐚̂𝐲 𝐝𝐮̛̣𝐧𝐠 𝐬𝐮̛̣ 𝐧𝐠𝐡𝐢𝐞̣̂𝐩 𝐃𝐞𝐬𝐢𝐠𝐧𝐞𝐫 𝐜𝐮̀𝐧𝐠 𝐀𝐥𝐩𝐡𝐚𝐗 𝐌𝐞𝐝𝐢𝐚 :star2:
Đ𝐴̣̆𝐶 𝐵𝐼𝐸̣̂𝑇: 𝐿𝑎̀𝑚 𝑣𝑖𝑒̣̂𝑐 𝑔𝑎̂̀𝑛 𝑔𝑖𝑎 đ𝑖̀𝑛ℎ 𝑛ℎ𝑢̛𝑛𝑔 𝑡ℎ𝑢 𝑛ℎ𝑎̣̂𝑝 𝑛𝑔𝑎𝑛𝑔 𝑇𝑃 𝑙𝑜̛́𝑛 (𝐻𝑎̀ 𝑁𝑜̣̂𝑖, 𝑇𝑃.𝐻𝐶𝑀) – 𝑐𝑜̛ ℎ𝑜̣̂𝑖 𝑐ℎ𝑜 𝑐𝑎́𝑐 𝑏𝑎̣𝑛 𝑚𝑢𝑜̂́𝑛 𝑡𝑟𝑜̛̉ 𝑣𝑒̂̀ 𝑙𝑎̣̂𝑝 𝑛𝑔ℎ𝑖𝑒̣̂𝑝 𝑛𝑔𝑎𝑦 𝑡𝑎̣𝑖 𝑞𝑢𝑒̂ ℎ𝑢̛𝑜̛𝑛𝑔!
:round_pushpin:𝐋𝐚̀𝐦 𝐯𝐢𝐞̣̂𝐜 𝐭𝐚̣𝐢: Tòa HD Building, Đại lộ Vinh - Cửa Lò, Phường Vinh Phú, TP. Vinh, Nghệ An
:sparkles: 𝐌𝐨̂ 𝐭𝐚̉ 𝐜𝐯:
- Thiết kế thumbnail YouTube bắt mắt, thu hút click. 
- Hợp tác cùng Content/Editor để tối ưu hình ảnh.
- Thiết kế banner, hình ảnh kênh, nhận diện thương hiệu.
- Cập nhật xu hướng thiết kế hiện đại, đặc biệt trong lĩnh vực YouTube/online.
:dart: 𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮:
- Tốt nghiệp mỹ thuật/thiết kế hoặc có chứng chỉ thiết kế đồ họa.
- Thành thạo AI, Photoshop, có kinh nghiệm Design.
- Mắt thẩm mỹ tốt, tư duy sáng tạo hình ảnh.
- Biết ứng dụng AI trong công việc là lợi thế lớn.
:moneybag: 𝐐𝐮𝐲𝐞̂̀𝐧 𝐥𝐨̛̣𝐢 𝐡𝐚̂́𝐩 𝐝𝐚̂̃𝐧:
- Lương cứng 7–10M + phụ cấp + thưởng → Thu nhập 10–14M
- Đào tạo kỹ năng & chuyên môn định kỳ, lộ trình thăng tiến rõ ràng
 - Full phúc lợi: BHXH, lương tháng 13, thưởng lễ Tết, xét tăng lương định kỳ
 - Môi trường trẻ trung, năng động, sáng tạo
:envelope_with_arrow:𝐔̛́𝐧𝐠 𝐭𝐮𝐲𝐞̂̉𝐧 𝐧𝐠𝐚𝐲 𝐡𝐨̂𝐦 𝐧𝐚𝐲:
Mail: tuyendungalphaxmedia@gmail.com
𝐒Đ𝐓: 𝟎𝟑𝟕𝟒𝟐𝟐𝟐𝟕𝟗𝟔",1,"Tin đăng có tiêu đề 'Tuyển dụng Designer', mô tả vị trí công việc, yêu cầu kỹ năng, lương và cách ứng tuyển.",1,"Tin tuyển dụng rõ ràng về công việc, địa chỉ làm việc cụ thể, yêu cầu kỹ năng thiết kế phù hợp. Mức lương cũng trong khoảng khả thi.",content1_step2.csv,
"E nữ cần tìm việc ca sáng ạ, ca từ 6h30, 7h-11h30,12h đổ về càng tốt ạ
mn ai biết chỉ giúp e vs ạ, e cảm ơn ạ:relaxed:",1,"Văn bản mô tả việc tìm người làm ca sáng, cụ thể thời gian và mong muốn. ",0,Việc gia đình/cá nhân thiếu địa chỉ cụ thể và mô tả công việc không rõ ràng.,content1_step2.csv,
Cf Goc 22 Coffee and Tea  cần tuyển nhân viên phục vụ. Địa chỉ 22 huỳnh ngọc huệ. Bạn nào cần ib nhé.,1,Tin đăng cần tuyển nhân viên phục vụ.,1,Tin tuyển dụng quán cafe có địa chỉ cụ thể.,content3_step2.csv,
"Trực Tiếp Tại
Thanh Khê - Hải Châu 
 Độ Tuổi “ 20 - 60tuổi “
 :x:KHÔNG NHẬN SINH VIÊN 
Thời Gian: Làm Việc Giờ Hành Chính
  :dollar:(Thu Nhập: 6tr8 - 7tr3) 
Ai Thật Sự Cần :point_down:
:calling: Lh Zalo 0905106835.",1,"Mô tả công việc (làm việc giờ hành chính), mức thu nhập và yêu cầu độ tuổi.  Dùng Zalo liên hệ.",0,Việc công ty/quán xá nhưng thiếu tên thương hiệu cụ thể. Xưng hô 'Ai Thật Sự Cần' không chuyên nghiệp.,content3_step2.csv,
"Quán lẩu 52 Nguyễn sỹ sách cần tuyển 5 nhân viên chạy bàn , lương thỏa thuận bao ăn ở , lễ Tết có thưởng 
Lh 0967237567",1,"Tin đăng tuyển 5 nhân viên chạy bàn với lương thỏa thuận, bao ăn ở và thưởng Tết.",1,Tin tuyển dụng quán lẩu có địa chỉ cụ thể.,content1_step2.csv,
